FrondFrameNum, FrondFrameLuminance, BackFrameNum, BackFrameLuminance, Time, Knob, ResponsePattern, StepNumber, Amplitude, Velocity, FunctionRatio, CameraSpeed
1, 1.000, 2, 0.000, 0.000, 1, Velocity, 0, 0, 0, 2.000, 1.000
1, 0.919, 2, 0.081, 16.667, 0.643, Velocity, 0, 0, 0, 1.286, 1.000
1, 0.885, 2, 0.115, 33.333, 0.644, Velocity, 0, 0, 0, 1.288, 1.000
1, 0.858, 2, 0.142, 50.000, 0.644, Velocity, 0, 0, 0, 1.288, 1.000
1, 0.836, 2, 0.164, 66.667, 0.643, Velocity, 0, 0, 0, 1.286, 1.000
1, 0.816, 2, 0.184, 83.333, 0.644, Velocity, 0, 0, 0, 1.288, 1.000
1, 0.798, 2, 0.202, 100.000, 0.643, Velocity, 0, 0, 0, 1.286, 1.000
1, 0.781, 2, 0.219, 116.667, 0.643, Velocity, 0, 0, 0, 1.286, 1.000
1, 0.764, 2, 0.236, 133.333, 0.643, Velocity, 0, 0, 0, 1.286, 1.000
1, 0.749, 2, 0.251, 150.000, 0.644, Velocity, 0, 0, 0, 1.288, 1.000
1, 0.734, 2, 0.266, 166.667, 0.644, Velocity, 0, 0, 0, 1.288, 1.000
1, 0.721, 2, 0.279, 183.333, 0.643, Velocity, 0, 0, 0, 1.286, 1.000
1, 0.707, 2, 0.293, 200.000, 0.643, Velocity, 0, 0, 0, 1.286, 1.000
1, 0.694, 2, 0.306, 216.667, 0.643, Velocity, 0, 0, 0, 1.286, 1.000
1, 0.681, 2, 0.319, 233.333, 0.644, Velocity, 0, 0, 0, 1.288, 1.000
1, 0.668, 2, 0.332, 250.000, 0.644, Velocity, 0, 0, 0, 1.288, 1.000
1, 0.656, 2, 0.344, 266.667, 0.643, Velocity, 0, 0, 0, 1.286, 1.000
1, 0.644, 2, 0.356, 283.333, 0.644, Velocity, 0, 0, 0, 1.288, 1.000
1, 0.632, 2, 0.368, 300.000, 0.644, Velocity, 0, 0, 0, 1.288, 1.000
1, 0.621, 2, 0.379, 316.667, 0.644, Velocity, 0, 0, 0, 1.288, 1.000
1, 0.610, 2, 0.390, 333.333, 0.643, Velocity, 0, 0, 0, 1.286, 1.000
1, 0.598, 2, 0.402, 350.000, 0.643, Velocity, 0, 0, 0, 1.286, 1.000
1, 0.587, 2, 0.413, 366.667, 0.643, Velocity, 0, 0, 0, 1.286, 1.000
1, 0.576, 2, 0.424, 383.333, 0.643, Velocity, 0, 0, 0, 1.286, 1.000
1, 0.565, 2, 0.435, 400.000, 0.644, Velocity, 0, 0, 0, 1.288, 1.000
1, 0.554, 2, 0.446, 416.667, 0.644, Velocity, 0, 0, 0, 1.288, 1.000
1, 0.543, 2, 0.457, 433.333, 0.644, Velocity, 0, 0, 0, 1.288, 1.000
1, 0.532, 2, 0.468, 450.000, 0.643, Velocity, 0, 0, 0, 1.286, 1.000
1, 0.522, 2, 0.478, 466.667, 0.643, Velocity, 0, 0, 0, 1.286, 1.000
1, 0.511, 2, 0.489, 483.333, 0.644, Velocity, 0, 0, 0, 1.288, 1.000
1, 0.500, 2, 0.500, 500.000, 0.643, Velocity, 0, 0, 0, 1.286, 1.000
1, 0.489, 2, 0.511, 516.667, 0.644, Velocity, 0, 0, 0, 1.288, 1.000
