FrondFrameNum, FrondFrameLuminance, BackFrameNum, BackFrameLuminance, Time, Knob, ResponsePattern, StepNumber, Amplitude, Velocity
1,1,2,0,0,0.899, Velocity,0,0,2
1,0.983,2,0.017,16.667,0.901, Velocity,0,0,1.802
1,0.967,2,0.033,33.333,0.9, Velocity,0,0,1.8
1,0.95,2,0.05,50,0.902, Velocity,0,0,1.804
1,0.933,2,0.067,66.667,0.9, Velocity,0,0,1.8
1,0.917,2,0.083,83.333,0.899, Velocity,0,0,1.798
1,0.9,2,0.1,100,0.901, Velocity,0,0,1.802
1,0.883,2,0.117,116.667,0.899, Velocity,0,0,1.798
1,0.867,2,0.133,133.333,0.896, Velocity,0,0,1.792
1,0.85,2,0.15,150,0.899, Velocity,0,0,1.798
1,0.833,2,0.167,166.667,0.897, Velocity,0,0,1.794
1,0.817,2,0.183,183.333,0.897, Velocity,0,0,1.794
1,0.8,2,0.2,200,0.899, Velocity,0,0,1.798
1,0.783,2,0.217,216.667,0.897, Velocity,0,0,1.794
1,0.767,2,0.233,233.333,0.901, Velocity,0,0,1.802
1,0.75,2,0.25,250,0.901, Velocity,0,0,1.802
1,0.733,2,0.267,266.667,0.898, Velocity,0,0,1.796
1,0.717,2,0.283,283.333,0.897, Velocity,0,0,1.794
1,0.7,2,0.3,300,0.899, Velocity,0,0,1.798
1,0.683,2,0.317,316.667,0.899, Velocity,0,0,1.798
1,0.667,2,0.333,333.333,0.9, Velocity,0,0,1.8
1,0.65,2,0.35,350,0.902, Velocity,0,0,1.804
1,0.633,2,0.367,366.667,0.9, Velocity,0,0,1.8
1,0.617,2,0.383,383.333,0.899, Velocity,0,0,1.798
1,0.6,2,0.4,400,0.9, Velocity,0,0,1.8
1,0.583,2,0.417,416.667,0.902, Velocity,0,0,1.804
1,0.567,2,0.433,433.333,0.9, Velocity,0,0,1.8
1,0.55,2,0.45,450,0.901, Velocity,0,0,1.802
1,0.533,2,0.467,466.667,0.899, Velocity,0,0,1.798
1,0.517,2,0.483,483.333,0.899, Velocity,0,0,1.798
1,0.5,2,0.5,500,0.9, Velocity,0,0,1.8
1,0.483,2,0.517,516.667,0.902, Velocity,0,0,1.804
