FrondFrameNum,FrondFrameLuminance,BackFrameNum,BackFrameLuminance,Time,Vection Response
1, 1.00000, 2, 0.00000, 0.00000, 0
1, 0.83333, 2, 0.16667, 16.66667, 0
1, 0.66667, 2, 0.33333, 33.33334, 0
1, 0.50000, 2, 0.50000, 50.00000, 0
1, 0.33333, 2, 0.66667, 66.66667, 0
1, 0.16667, 2, 0.83333, 83.33334, 0
2, 1.00000, 3, 0.00000, 100.00000, 0
2, 0.83333, 3, 0.16667, 116.66670, 0
2, 0.66667, 3, 0.33333, 133.33330, 0
2, 0.50000, 3, 0.50000, 150.00000, 0
2, 0.33333, 3, 0.66667, 166.66670, 0
2, 0.16667, 3, 0.83333, 183.33330, 0
3, 1.00000, 4, 0.00000, 200.00000, 0
3, 0.83333, 4, 0.16667, 216.66670, 0
3, 0.66667, 4, 0.33333, 233.33330, 0
3, 0.50000, 4, 0.50000, 250.00000, 0
3, 0.33333, 4, 0.66667, 266.66670, 0
3, 0.16667, 4, 0.83333, 283.33340, 0
4, 1.00000, 5, 0.00000, 300.00000, 0
4, 0.83333, 5, 0.16667, 316.66670, 0
4, 0.66667, 5, 0.33333, 333.33330, 0
4, 0.50000, 5, 0.50000, 350.00000, 0
4, 0.33333, 5, 0.66667, 366.66670, 0
4, 0.16667, 5, 0.83333, 383.33330, 0
5, 1.00000, 6, 0.00000, 400.00000, 0
5, 0.83333, 6, 0.16667, 416.66670, 0
5, 0.66667, 6, 0.33333, 433.33340, 0
5, 0.50000, 6, 0.50000, 450.00000, 0
5, 0.33333, 6, 0.66667, 466.66670, 0
5, 0.16667, 6, 0.83333, 483.33330, 0
6, 1.00000, 7, 0.00000, 500.00000, 0
6, 0.83333, 7, 0.16667, 516.66670, 0
6, 0.66667, 7, 0.33333, 533.33340, 0
6, 0.50000, 7, 0.50000, 550.00000, 0
6, 0.33333, 7, 0.66667, 566.66670, 0
6, 0.16667, 7, 0.83333, 583.33340, 0
7, 1.00000, 8, 0.00000, 600.00000, 0
7, 0.83333, 8, 0.16667, 616.66670, 0
7, 0.66667, 8, 0.33333, 633.33340, 0
7, 0.50000, 8, 0.50000, 650.00010, 0
7, 0.33333, 8, 0.66667, 666.66670, 0
7, 0.16667, 8, 0.83333, 683.33340, 0
8, 1.00000, 9, 0.00000, 700.00010, 0
8, 0.83333, 9, 0.16667, 716.66670, 0
8, 0.66667, 9, 0.33333, 733.33340, 0
8, 0.50000, 9, 0.50000, 750.00010, 0
8, 0.33333, 9, 0.66667, 766.66670, 0
8, 0.16667, 9, 0.83333, 783.33340, 0
9, 1.00000, 10, 0.00000, 800.00010, 0
9, 0.83333, 10, 0.16667, 816.66670, 0
9, 0.66667, 10, 0.33333, 833.33340, 0
9, 0.50000, 10, 0.50000, 850.00000, 0
9, 0.33333, 10, 0.66667, 866.66670, 0
9, 0.16667, 10, 0.83333, 883.33340, 0
10, 1.00000, 11, 0.00000, 900.00010, 0
10, 0.83333, 11, 0.16667, 916.66670, 0
10, 0.66667, 11, 0.33333, 933.33340, 0
10, 0.50000, 11, 0.50000, 950.00010, 0
10, 0.33333, 11, 0.66667, 966.66670, 0
10, 0.16667, 11, 0.83333, 983.33340, 0
11, 1.00000, 12, 0.00000, 1000.00000, 0
11, 0.83333, 12, 0.16667, 1016.66700, 0
11, 0.66667, 12, 0.33333, 1033.33300, 0
11, 0.50000, 12, 0.50000, 1050.00000, 0
11, 0.33333, 12, 0.66667, 1066.66700, 0
11, 0.16667, 12, 0.83333, 1083.33300, 0
12, 1.00000, 13, 0.00000, 1100.00000, 0
12, 0.83333, 13, 0.16667, 1116.66700, 0
12, 0.66667, 13, 0.33333, 1133.33300, 0
12, 0.50000, 13, 0.50000, 1150.00000, 0
12, 0.33333, 13, 0.66667, 1166.66700, 0
12, 0.16667, 13, 0.83333, 1183.33300, 0
13, 1.00000, 14, 0.00000, 1200.00000, 0
13, 0.83333, 14, 0.16667, 1216.66700, 0
13, 0.66667, 14, 0.33333, 1233.33300, 0
13, 0.50000, 14, 0.50000, 1250.00000, 0
13, 0.33333, 14, 0.66667, 1266.66700, 0
13, 0.16667, 14, 0.83333, 1283.33300, 0
14, 1.00000, 15, 0.00000, 1300.00000, 0
14, 0.83333, 15, 0.16667, 1316.66700, 0
14, 0.66667, 15, 0.33333, 1333.33300, 0
14, 0.50000, 15, 0.50000, 1350.00000, 0
14, 0.33333, 15, 0.66667, 1366.66700, 0
14, 0.16667, 15, 0.83333, 1383.33300, 0
15, 1.00000, 16, 0.00000, 1400.00000, 0
15, 0.83333, 16, 0.16667, 1416.66700, 0
15, 0.66667, 16, 0.33333, 1433.33300, 0
15, 0.50000, 16, 0.50000, 1450.00000, 0
15, 0.33333, 16, 0.66667, 1466.66700, 0
15, 0.16667, 16, 0.83333, 1483.33300, 0
16, 1.00000, 17, 0.00000, 1500.00000, 0
16, 0.83333, 17, 0.16667, 1516.66700, 0
16, 0.66667, 17, 0.33333, 1533.33300, 0
16, 0.50000, 17, 0.50000, 1550.00000, 0
16, 0.33333, 17, 0.66667, 1566.66700, 0
16, 0.16667, 17, 0.83333, 1583.33300, 0
17, 1.00000, 18, 0.00000, 1600.00000, 0
17, 0.83333, 18, 0.16667, 1616.66700, 0
17, 0.66667, 18, 0.33333, 1633.33300, 0
17, 0.50000, 18, 0.50000, 1650.00000, 0
17, 0.33333, 18, 0.66667, 1666.66700, 0
17, 0.16667, 18, 0.83333, 1683.33300, 0
18, 1.00000, 19, 0.00000, 1700.00000, 0
18, 0.83333, 19, 0.16667, 1716.66700, 0
18, 0.66667, 19, 0.33333, 1733.33300, 0
18, 0.50000, 19, 0.50000, 1750.00000, 0
18, 0.33333, 19, 0.66667, 1766.66700, 0
18, 0.16667, 19, 0.83333, 1783.33300, 0
19, 1.00000, 20, 0.00000, 1800.00000, 0
19, 0.83333, 20, 0.16667, 1816.66700, 0
19, 0.66667, 20, 0.33333, 1833.33300, 0
19, 0.50000, 20, 0.50000, 1850.00000, 0
19, 0.33333, 20, 0.66667, 1866.66700, 0
19, 0.16667, 20, 0.83333, 1883.33300, 0
20, 1.00000, 21, 0.00000, 1900.00000, 0
20, 0.83333, 21, 0.16667, 1916.66700, 0
20, 0.66667, 21, 0.33333, 1933.33300, 0
20, 0.50000, 21, 0.50000, 1950.00000, 0
20, 0.33333, 21, 0.66667, 1966.66700, 0
20, 0.16667, 21, 0.83333, 1983.33300, 0
21, 1.00000, 22, 0.00000, 2000.00000, 0
21, 0.83333, 22, 0.16667, 2016.66700, 0
21, 0.66667, 22, 0.33333, 2033.33300, 0
21, 0.50000, 22, 0.50000, 2050.00000, 0
21, 0.33333, 22, 0.66667, 2066.66700, 0
21, 0.16667, 22, 0.83333, 2083.33300, 0
22, 1.00000, 23, 0.00000, 2100.00000, 0
22, 0.83333, 23, 0.16667, 2116.66700, 0
22, 0.66667, 23, 0.33333, 2133.33300, 0
22, 0.50000, 23, 0.50000, 2150.00000, 0
22, 0.33333, 23, 0.66667, 2166.66700, 0
22, 0.16667, 23, 0.83333, 2183.33300, 0
23, 1.00000, 24, 0.00000, 2200.00000, 0
23, 0.83333, 24, 0.16667, 2216.66700, 0
23, 0.66667, 24, 0.33333, 2233.33300, 0
23, 0.50000, 24, 0.50000, 2250.00000, 0
23, 0.33333, 24, 0.66667, 2266.66700, 0
23, 0.16667, 24, 0.83333, 2283.33300, 0
24, 1.00000, 25, 0.00000, 2300.00000, 0
24, 0.83333, 25, 0.16667, 2316.66700, 0
24, 0.66667, 25, 0.33333, 2333.33300, 0
24, 0.50000, 25, 0.50000, 2350.00000, 0
24, 0.33333, 25, 0.66667, 2366.66700, 0
24, 0.16667, 25, 0.83333, 2383.33300, 0
25, 1.00000, 26, 0.00000, 2400.00000, 0
25, 0.83333, 26, 0.16667, 2416.66700, 0
25, 0.66667, 26, 0.33333, 2433.33300, 0
25, 0.50000, 26, 0.50000, 2450.00000, 0
25, 0.33333, 26, 0.66667, 2466.66700, 0
25, 0.16667, 26, 0.83333, 2483.33300, 0
26, 1.00000, 27, 0.00000, 2500.00000, 0
26, 0.83333, 27, 0.16667, 2516.66700, 0
26, 0.66667, 27, 0.33333, 2533.33300, 0
26, 0.50000, 27, 0.50000, 2550.00000, 0
26, 0.33333, 27, 0.66667, 2566.66700, 0
26, 0.16667, 27, 0.83333, 2583.33300, 0
27, 1.00000, 28, 0.00000, 2600.00000, 0
27, 0.83333, 28, 0.16667, 2616.66700, 0
27, 0.66667, 28, 0.33333, 2633.33300, 0
27, 0.50000, 28, 0.50000, 2650.00000, 0
27, 0.33333, 28, 0.66667, 2666.66700, 0
27, 0.16667, 28, 0.83333, 2683.33300, 0
28, 1.00000, 29, 0.00000, 2700.00000, 0
28, 0.83333, 29, 0.16667, 2716.66700, 0
28, 0.66667, 29, 0.33333, 2733.33300, 0
28, 0.50000, 29, 0.50000, 2750.00000, 0
28, 0.33333, 29, 0.66667, 2766.66700, 0
28, 0.16667, 29, 0.83333, 2783.33300, 0
29, 1.00000, 30, 0.00000, 2800.00000, 0
29, 0.83333, 30, 0.16667, 2816.66700, 0
29, 0.66667, 30, 0.33333, 2833.33300, 0
29, 0.50000, 30, 0.50000, 2850.00000, 0
29, 0.33333, 30, 0.66667, 2866.66700, 0
29, 0.16667, 30, 0.83333, 2883.33300, 0
